Point ID,Activation,Points_0,Points_1,Points_2
4249,19,81.285,74.101,295.5
4250,19,80.898,74.098,295.86
4251,19,81.144,73.993,295.76
4252,20,81.283,73.729,295.91
4253,18,80.166,75.681,293.53
4254,18,80.531,75.647,293.45
4255,18,80.609,75.508,293.71
4256,18,80.336,75.552,293.75
4257,20,81.256,73.359,296.28
4258,20,80.985,73.434,296.46
4259,20,80.909,73.703,296.28
4260,20,81.153,73.601,296.17
4261,19,80.953,73.883,296.06
4262,19,80.719,73.975,296.15
4263,19,80.3,72.362,297.72
4264,19,80.024,72.46,297.82
4265,19,80.184,72.626,297.63
4266,21,76.325,83.656,293.74
4267,21,76.618,83.647,293.75
4268,21,75.213,84.319,294.14
4269,21,75.415,84.168,294.05
4270,21,75.797,84.166,294.02
4271,21,76.15,83.834,293.85
4272,21,76.564,83.869,293.88
4273,21,75.818,84.546,294.06
4274,16,73.463,84.62,294.82
4275,18,73.481,84.996,294.85
4276,21,77.025,84.638,293.64
4277,21,76.753,84.756,293.74
4278,21,76.965,84.977,293.5
4279,17,67.694,85.406,294.39
4280,17,67.957,85.403,294.5
4281,18,70.195,86.061,295.01
4282,17,70.224,85.27,295.38
4283,17,70.161,85.523,295.27
4284,18,70.567,86.087,295.04
4285,18,70.552,86.343,294.89
4286,19,70.545,86.593,294.74
4287,18,70.951,86.096,295.05
4288,19,70.951,86.591,294.73
4289,19,71.692,85.266,295.4
4290,19,71.754,85.518,295.28
4291,18,72.909,85.335,295.03
4292,17,73.195,85.24,294.96
4293,17,73.105,85.522,294.9
4294,21,73.347,85.751,294.69
4295,19,72.156,85.749,295.08
4296,19,71.992,85.218,295.36
4297,19,70.537,86.869,294.57
4298,19,70.918,86.852,294.56
4299,22,69.719,89.31,293.01
4300,22,70.091,89.259,292.97
4301,22,69.691,88.84,293.35
4302,22,69.728,89.073,293.18
4303,21,71.376,88.608,293.12
4304,21,71.756,88.538,293.06
4305,21,71.797,88.761,292.87
4306,21,71.529,88.796,292.92
4307,20,74.999,86.311,293.64
4308,19,74.507,85.677,294.21
4309,19,74.788,85.606,294.12
4310,20,75.396,86.201,293.53
4311,20,75.75,86.101,293.44
4312,20,75.549,86.39,293.34
4313,19,74.851,85.321,294.2
4314,21,74.538,87.327,293.06
4315,21,74.181,87.41,293.15
4316,21,74.024,87.656,293.01
4317,21,74.177,87.816,292.81
4318,21,74.598,87.534,292.87
4319,21,74.33,87.587,292.94
4320,21,73.632,85.651,294.62
4321,21,73.813,85.825,294.44
4322,19,74.527,85.349,294.32
4323,21,73.525,85.93,294.52
4324,17,62.18,98.565,282.33
4325,17,62.154,98.279,282.76
4326,17,62.022,98.355,282.49
4327,17,62.302,98.483,282.6
4328,24,67.134,99.249,283.35
4329,21,62.327,98.018,283.37
4330,21,62.6,98.109,283.49
4331,21,62.435,97.906,283.66
4332,17,63.336,98.12,283.89
4333,17,63.34,98.277,283.63
4334,17,63.734,98.15,283.88
4335,17,63.739,98.283,283.63
4336,24,67.08,99.221,283.61
4337,24,67.505,99.485,281.55
4338,24,67.52,99.779,281.67
4339,24,67.394,99.092,281.97
4340,24,67.435,99.477,281.97
4341,19,70.935,102.2,281.52
4342,19,71.637,102.81,280.16
4343,19,71.343,102.69,280.43
4344,19,71.749,102.57,280.69
4345,19,71.79,102.7,280.38
4346,19,70.572,102.05,281.8
4347,19,70.949,102.06,281.81
4348,19,70.529,101.92,282.06
4349,24,67.14,98.974,283.59
4350,23,68.558,100.51,283.82
4351,23,68.921,100.55,283.91
4352,23,68.926,100.71,283.65
4353,23,69.328,100.63,283.93
4354,22,73.346,98.3,285.99
4355,22,73.318,98.523,285.82
4356,22,73.389,98.731,285.63
4357,22,73.115,98.788,285.67
4358,22,68.684,98.024,286.54
4359,23,68.983,98.061,286.57
4360,23,68.956,98.286,286.39
4361,18,79.8,98.224,281.14
4362,23,78.493,98.957,281.49
4363,23,78.633,99.085,281.22
4364,23,78.346,99.219,281.34
4365,23,78.488,99.332,281.09
4366,20,77.918,100.77,280.08
4367,21,78.193,100.27,280.38
4368,21,78.315,100.02,280.52
4369,21,78.498,100.14,280.25
4370,21,78.316,100.42,280.12
4371,22,77.75,98.192,283.14
4372,22,77.874,98.314,282.86
4373,22,77.604,98.444,282.99
4374,22,77.727,98.567,282.71
4375,18,80.194,98.299,280.74
4376,18,80.124,98.108,281.02
4377,18,79.926,98.371,280.87
4378,11,89.334,84.523,255.1
4379,11,89.867,84.308,254.67
4380,11,89.64,84.396,254.83
4381,11,90.208,84.215,254.7
4382,11,89.951,84.322,255.09
4383,11,90.237,84.244,255.09
4384,12,90.654,84.24,257.5
4385,12,90.98,84.163,257.51
4386,12,91.347,84.084,257.5
4387,12,90.654,84.24,257.9
4388,12,93.305,83.735,255.5
4389,12,92.95,83.814,255.9
4390,12,93.304,83.73,255.89
4391,12,93.646,83.625,255.88
4392,12,88.354,84.745,261.94
4393,12,88.631,84.672,261.93
4394,12,88.597,84.644,262.32
4395,12,88.966,84.578,261.9
4396,8,87.359,96.508,255.09
4397,8,87.749,96.496,255.07
4398,23,86.593,96.566,255.5
4399,23,86.591,96.566,255.89
4400,23,86.953,96.507,255.87
4401,8,87.342,96.484,255.47
4402,8,87.733,96.466,255.44
4403,23,86.583,96.578,256.29
4404,25,98.932,95.869,259.86
4405,25,98.95,96.194,259.98
4406,25,97.423,96.626,259.52
4407,25,97.49,96.626,259.88
4408,25,97.219,96.835,259.95
4409,7,88.217,96.289,261.1
4410,7,88.519,96.166,261.07
4411,7,88.737,96.029,261.63
4412,7,88.201,96.266,261.49
4413,7,87.35,96.662,261.1
4414,7,87.617,96.545,261.1
4415,7,87.339,96.643,261.5
4416,7,87.604,96.526,261.5
4417,8,92.584,94.293,265.54
4418,8,92.574,94.191,265.86
4419,9,87.504,95.218,266.46
4420,9,87.13,95.23,266.87
4421,9,87.408,95.146,266.75
4422,9,87.757,95.012,266.71
4423,24,96.622,97.284,260.85
4424,24,96.841,97.531,260.96
4425,24,97.002,97.41,260.8
4426,8,92.857,94.404,265.23
4427,8,92.983,94.33,265.51
4428,24,94.444,95.143,265.1
4429,24,94.631,95.386,265.05
4430,24,94.781,95.554,265.21
4431,24,94.685,95.285,265.43
4432,24,95.055,96.2,266.28
4433,24,95.088,96.202,266.67
4434,24,94.987,96.581,266.3
4435,24,94.982,96.57,266.69
4436,25,99.309,95.866,259.79
4437,25,99.302,96.228,259.89
4438,22,97.686,75.362,279.1
4439,22,97.587,75.238,279.37
4440,23,95.454,77.437,279.97
4441,23,95.265,77.754,279.9
4442,23,95.155,78.019,279.76
4443,20,97.004,77.418,277.57
4444,20,96.867,77.668,277.41
4445,20,96.776,77.582,277.7
4446,22,97.474,75.521,279.26
4447,9,89.5,94.037,267.68
4448,9,89.38,93.951,267.96
4449,9,89.322,94.162,267.47
4450,9,89.184,94.078,267.76
4451,9,89.075,93.559,269.23
4452,9,88.891,93.682,269.04
4453,9,88.786,93.622,269.32
4454,9,92.308,93.615,267.65
4455,9,92.615,93.594,267.63
4456,9,92.141,93.706,267.42
4457,9,92.161,93.541,267.92
4458,10,91.091,93.227,269.26
4459,10,90.566,93.168,269.61
4460,10,90.945,93.151,269.53
4461,9,90.568,93.06,269.94
4462,9,90.962,93.029,269.91
4463,10,90.536,93.361,269.04
4464,17,88.316,97.273,271.79
4465,17,88.604,97.331,271.89
4466,17,88.424,97.18,272.08
4467,17,88.732,97.236,272.15
4468,17,88.234,96.91,272.68
4469,17,88.611,96.978,272.67
4470,17,88.034,96.825,272.88
4471,17,88.344,96.859,272.96
4472,18,90.955,97.35,271.85
4473,18,91.012,97.531,271.62
4474,18,91.373,97.438,271.52
4475,18,91.383,97.048,271.93
4476,19,94.603,92.616,270.01
